¬	negatzione
|	lìnia verticale
~	tilde
≥	prus mannu o uguale
😀	aberta, buca, buca risulana, cara, cara risulana, fatze, iscantzada, iscantzende, risu, risulanu
😃	aberta, buca, buca risulana, cara, cara cun ogros ispamparriados, cara cun ogros mannos, cara risulana cun ogros ispamparriados, fatze, iscantzada, iscantzende, ispamparriados, risu, risulanu
😄	aberta, buca, buca risulana, cara, cara cun ogros chi rident, cara cun ogros risulanos, cara risulana cun sos ogros chi rident, fatze, iscantzada, iscantzende, risu, risulanu
😺	aberta, buca, buca risulana, cara, gatu, gatu risulanu, iscantzada, iscantzende, pisitu, risu, risulanu
😸	aberta, buca, buca risulana, cara, gatu, gatu cun ogros chi rident, gatu cun ogros risulanos, gatu risulanu cun sos ogros chi rident, iscantzada, iscantzende, pisitu, risu, risulanu
😹	cara, cuntentesa, gatu, gatu cun làgrimas de cuntentesa, làgrimas, pisitu
😻	amore, cara, coro, gatu, gatu risulanu cun ogros a forma de coro, ogros, ogru, pisitu, risitu, risulanu
😼	befulanu, cara, gatu, gatu befulanu, irònicu, pisitu, risitu
😽	basu, cara, gatu, gatu chi mandat basos, ogros serrados, pisitu
🙀	assustadu, cara, gatu, gatu istasidu, ispantadu, ispramadu, istasidu, istracu, oh, pisitu
😿	cara, gatu, gatu chi pranghet, làgrimas, pisitu, pranghende, prànghere, tristu
😾	abbuddadu, ammurrionadu, cara, gatu, gatu a murru longu, inchighiristadu, murrilongu, murrione, murru longu, mutriosu, mutzighiladu, neghidadu
🙈	bidere, cara, mala, male, malu, manos in ogros, martinica, martinica chi non bidet su male, muninca, muninca chi non bidet su male, muninca covechende·si sos ogros, non bido, ogros, ogros covecados
🙉	cara, intendere, mala, male, malu, manos in sas origras, martinica, martinica chi no intendet su male, muninca, muninca chi no intendet su male, muninca covechende·si sas origras, no intendo, no iscurto, origras, origras covecadas
🙊	buca, cara, covechende·si sa buca, mala, male, malu, manos in buca, martinica, martinica chi non narat cosa mala, muninca, muninca a manos in buca, muninca chi non narat cosa mala, muninca covechende·si sa buca, non faeddo, non naro
💌	lìtera de amore
💕	amore, duos coros, istima
🧡	arantzu, coro, coro arantzu, emotzione
💛	coro, coro grogu, emotzione, grogu
💚	birde, coro, coro birde, emotzione
💙	asulu, biaitu, coro, coro asulu, emotzione
💜	coro, coro tanadu, emotzione, pùrpura, tanadu
🤎	baju, castàngiu, coro, coro castàngiu, emotzione
🖤	coro, coro nieddu, dolore, nieddu, tristura
🤍	arbu, biancu, coro, coro biancu, emotzione
💯	100, 100 puntos, puntos, puntègiu prenu
🦵	anca, carche, càrchida, mermu, punta de pee
🦶	pee
👂️	corpus, origra
👃	corpus, nasu
🧠	abbistu, cherbeddu, inteligente
🫁	purmones
🦷	dente, dentista
🦴	ischèletru, ossu
👀	cara, fatze, ogros, ogru
👁️	corpus, ogru
👅	corpus, limba
👄	buca, lavras
🫦	amorare, anneu, buca chi mòssigat is lavras, buca chi mòssigat sas lavras, diosare, indiosare, oriolada, orioladu, oriolu, pensamentosa, pensamentosu, pensamentu, timoria
👶	criu
🧒	giòvana, giòvanu, pisedda, piseddu, pitzinna, pitzinnedda, pitzinneddu, pitzinnu, pitzoca, pitzochedda, pitzocheddu, pitzocu
👦	giòvanu, pitzinnu, pitzocu
👧	giòvana, pitzinna, pitzoca, vìrgine, zodìacu
🧑	adulta, adultu, manna, mannu, persone
👱	brunda, brundu, persone brunda, pilos brundos
👨	adultu, mannu, òmine
🧔	barba, persone barbuda
🧔‍♂	barba, òmine, òmine barbudu
👩	adulta, fèmina, manna
🧔‍♀	barba, fèmina, fèmina barbuda
🧓	adulta, adultu, antziana, antzianu, betza, betzu, manna, mannu, persone antziana
👴	adultu, antzianu, betzu, mannu, òmine, òmine antzianu
👵	adulta, antziana, betza, fèmina, fèmina antziana, manna
🤴	prìntzipe
👸	fantasia, paristòria, printzesa, printzipessa
🤰	fèmina, fèmina prìngia, prìngia
👼	angheleddu
🦸	bona, bonu, eroe, eroina, supereroe, supereroina, superpodere
🦹	criminale, malu, supercriminale, supermalu, superpodere
🧙	majàrgiu
🧛	vampiru
🧝	alvu, elfu, màgicu
🧝‍♂	alvu òmine, elfu òmine, màgicu
🧝‍♀	alva, alvu fèmina, elfa, elfu fèmina, màgica, màgicu
🧞	djinn, gèniu
🧌	fantasia, mostru, paristòria, troll
💏	basu, croba, còpia
👪️	famìlia
🦰	piliruja, piliruju, pilos rujos
🦱	afro, pilaneddada, pilaneddadu, pilos aneddados, ritzulada, ritzuladu
🦳	antzianos, arbos, arbu, betzos, biancos, biancu, cana, canu, incanida, incanidu, murru, pilos, pilos biancos
🦲	chemioterapia, chene pilos, iscucada, iscucadu, iscucadura, ispilidu, ispilidura, isplilida, rapada, rapadu, sena pilos
🐵	animale, cara, cara de martinica, fatze, martinica, moninca
🐒	animale, martinica, moninca
🦍	animale, gorilla
🦧	martinica, moninca, orangu, orangutangu
🐶	animale, cane, cara, fatze, murru, murru de cane
🐕️	animale, cane
🦮	atzessibilidade, cane de acumpangiamentu, cane de ghia, tzegos
🐕‍🦺	atzessibilidade, cane de agiudu, cane de assistèntzia, cane de servìtziu
🐩	animale, barbontzinu, cane
🐺	animale, cara, fatze, lupu, murru
🦊	animale, cara, fatze, grodde, mariane, murru
🦝	abbistu, animale, curiosu, procione
🐱	animale, cara, fatze, gatu, murru, murru de gatu, murru de pisitu, pisitu
🐈️	animale, gatu, pisitu
🐈‍⬛	gatu, gatu nieddu, malasorte, nieddu, pisitu
🦁	animale, cara, fatze, leone, murru, zodìacu
🐯	animale, cara, fatze, murru, murru de tigre, tigre
🐅	animale, tigre
🐆	animale, leopardu
🐴	animale, caddu, cara, fatze, murru, murru de caddu
🐎	animale, caddu, cursas, ecuitatzione
🦄	animale, cara, fazte, murru, unicornu
