_	daash, daash hoose, dhaash hoose, xariiq, xariiq hoose
-	dhaash, jiitin-gaaban, jiitin-ka jarid, ka jar
‐	dhaash, jiitin gaaban
–	dhaash, en, xarakada erayga
—	dhaash, em, laynka astaameeynta
―	dhaash, jiitin dheer, layn
・	dhexgal, dhibco, dhibic dhexe, dhibic dhexe katakana, katakana
,	hakad
،	carabi, hakad, hakad ka carabida
、	comma, feker ahaan, hakad fikirka ah
;	joogsi dhiman, semi kolon
؛	carabi, joogsi dhiman carabi, joogsiga
:	kolmo
!	astaan dhawaaq, calaamada la yaabka, calaamadaha la yaabka leh, cod dheer, la tacajubid
¡	astaan la yaab rogan, calaamadaha la yaabka leh, calaamadda la yaabka oo la leexiyay, cod dheer, la yaab, qodob qaylodhaan, rogay
?	astaan su’aaleed, calaamadda su’aasha, su’aal
¿	astaan su’aaleed rogan, calaamadda su’aasha, rogay, sumadda su’aasha la rogay, su’aal
؟	astaan su’aaleeda carabida, calaamadda su’aasha, calaamadda su’aasha carabiga, carabi, su’aal
.	dhibic, joogsi, joogsi buuxa
…	dhibco, dhibco isxig xiga, dhico isxig xiga, ka tagid
。	dhibic joogsi, fikrad, muddo, xilli fikirka
·	dhexe, dhexgal, dhibic, dhibic dhex gal ah, dhibicda dhexdeeda
'	hal xigasho, hamsad kore, hamsada kore ee qoraalka, hamsada kore qoraalka, xigasho
‘	hal xigasho, hamsada kore, hamsada kore ee bidix, ka tagay hamsada kore, xigasho, xigasho wanaagsan
’	hal xigasho, hamsada kore, hamsada kore ee midig, hamsada midig ah, xigasho, xigasho wanaagsan
‚	hamsada kore, hamsada kore ee midig hoose, hamsada kore ee midig hooseeya, xigasho, xigasho hoose
“	calaamadda oraah bidix, calaamadda xigashada bidix, labo xigasho, xigasho, xigasho wanaagsan
”	calaamadda xigashada saxda ah, labo xigasho, sumadda oraah sax ah, xigasho, xigasho wanaagsan
„	calaamada xigashada midig, labo xigasho, oraah hoose, sumadda oraah midig hooseysa, xigasho, xigasho wanaagsan
«	bidix, calaamad hoosaad, gulimeetka bidix, layn, soodin, xagal, xigasho
»	baraakeet, calaamad hoose, guillemet saxda, layn, sax, xagal, xigasho, xuquuqda guillemetka
)	baraakeet, baraakeet wareegsan, caajis, dhibco isku xiga, saxarada, xirid dhibcaha isku xiga
[	baraakeet, baraakeet laba jibbaaran, fur baraakeet laba jibbaaran, fur baraakeetka laba jibbaaran, jeexjeex
]	baraakeet, baraakeet laba jibbaaran, jeexjeex, xiro baraakeet laba jibbaaran, xiro baraakeetka laba jibbaaran
{	baraakeet, fur baraakeetka qalooca, fur qeybta qalooca, gullwing, qalooca qalooca, xargo, xargo guntin
}	baraakeet, baraakeet qalooca, gulling, layn, xargo guntin, xiro baraakeetka qalooca, xiro qalooca curly
〈	baraakeet, baraakeet dheeman, baraakeet xagalka, chevron, cufan, fur baraakeetka xagasha, goobta baraakeet, qaansada xagal furan
〉	barakeetka, barakeetka dheeman, barakeetka xaglaha, cufan, goobta barakeetka, layn kor u jeeda, xir baraakeetka xagasha ah, xirid barakeetka xagal
《	fur laba baraakeet xagal, fur laba baraaket xagal ah, laba baraakeet xagal, qaansada
》	baraakeet, baraakeet labaale xagal, xir baraakeet laba xagal, xiro baraakeetka xagaleed laba ah
「	baraakeet, baraakeetka geeska, fur baraakeet geeska, fur barakeetka geeska
」	baraakeet, baraakeet geeska, xir baraakeet geeska, xir barakeetka geeska
『	baraakeet, fur baraakeet geeska godan, godka baraakeet godan
』	baraakeet, baraakeet geeska godan, xir baraakeet geeska godan, xir baraakeet godka godan
【	baraakeet, baraakeet godan, baraakeet muraayadda, fur baraakeet muraayadaha madow, fur barakeet muraayadaha madow
】	baraakeet, baraakeet muraayadda, xir baraakeet madow, xir baraakeet madow ee muraayadda
〔	baraakeet, baraakeet qolof, baraakeet qolofta qaloocda furan, baraakeet qolofta#, fur baraakeetka qolofta diinka
〕	baraakeet, baraakeet qolofta, baraakeetka qolof, xir baraakeet qolofta dhejiska, xiro baraakeet qolofta
