‾	apọju
‽	interrobang
‸	itọju
⁂	asterism
😀	Ojú tó rẹ́rìn, fẹyín, ojú
😃	Ojú tó rẹ́rìn Pẹ̀lú Ẹnu Lílà sílẹ̀, ojú, rẹ́rìń músẹ́, ṣí, ẹnu
😄	ojú, ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti ẹyinjú tó ń rkrìń músẹ́, rẹ́rìń músẹ́, ṣí, ẹnu, ẹyinjú
😁	Ojú tó fẹyín pẹ̀lú Ẹyinjú tó rẹ́rìn músẹ́, fẹyín, ojú, rẹ́rìn músẹ́, ẹyinjú
😆	ojú, ojú tó ń rẹ́rìń músẹ́ pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn tútù, rẹ́rìń músẹ́, ìtẹ́larùn, ẹnu, ẹ̀rín
😅	ojú, ojú tó ń rẹ́rìń pẹ̀lú ẹnu lílà sílẹ̀ àti òógùn, rẹ́rìń músẹ́, òtútù, òógùn, ṣí
🤣	Yíyí ní ilẹ̀nlẹ̀ tún rẹ́rìn, ilẹ̀, ojú, rẹ́rìń, yíyí
😂	Ojú pẹ̀lú ẹkún ayọ̀, ojú, àyọ̀, ẹkún, ẹ̀rín
🙂	Oju Ti O N Rẹrin Muṣẹn, ojú, rẹ́rín músẹ́
🙃	Oju Ti O Rọ walẹ, dojú kodò, ojú
😉	Ojú tó ṣẹ́jù, ojú, ṣẹ́jú
😊	Ojú tó rẹ́rìn Músẹ́ Pẹ̀lú Ẹyinjú tó rẹ́rìn Músẹ́, ojú, rẹ́rìń músẹ́, rẹ́rìń ìtìjù, ẹyinjú
😇	Oju Ẹrin Ati Bawo, aláìṣẹ̀, báwo, ojú, rẹ́rìn músẹ́, àla fú ọmọdé, àlá, àńgẹ́lì
😍	Oju Ti O N Rẹrin Pẹlu awọn oju Ọkan, ojú, rẹ́rìn músẹ́, ìfẹ́, ẹyinjú
🤩	Pípa pè̩lú ìràwọ̀, Rẹ́rìn-ín ìyàlé̩nu, ojú, ìràwọ̀, ẹyinjú
😘	Oju Ti O N Fẹ Ifẹnuko, ojú, ìfẹnukonu
😗	Ojú tó Fẹnuko ẹnu, ojú, ìfẹnukonu
☺️	ojú, ojú tó ń rẹ́rìń músẹ́, rẹ́rìń músẹ́, ìgbafẹ́, ìlànà
😚	Oju Ti O N Fẹnuko Pẹlu Awọn Oju didi, ojú, ti padé, ìfẹnukonu, ẹyinjú
😙	Ojú tó Fẹnuko ẹnu Pẹ̀lú Ẹyinjú tọ rẹ́rìn Músẹ́, ojú, rẹ́rìń músẹ́, ìfẹnukonu, ẹyinjú
😋	Oju Ti O N jẹ Ounjẹ Aladidun, aládídùn, jíjẹ aládídùn, ojú, rẹ́rìń músẹ́, um, yum
😛	Oju Ti Ahọn Ti O Yọ Sita, ahọ́n, ojú
😜	ahọ́n, ojú, ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tí ń ṣẹ́jú, yẹ̀yẹ́, ṣẹ́jú, ẹyinjú
🤪	Nlá, Ojú aṣiwèrè, kékeré, ojú
😝	ahọ́n, burújù, ojú, ojú pẹ̀lú ahọ́n lílà sílẹ̀ àti ẹyinjú tó padé, ìtọ́wò, ẹyinjú
🤑	Oju Ẹnu owo, ojú, owó, ẹnu
🤗	fanimọ́ra, oju Ti O fanimọra, ojú
🤭	Ikó̩, Ojú tá fọwọ́ bo ẹnu
🤫	Ojú tó sùpò̩, dákẹ́, panu mọ́
🤔	Ojú tó Ronú, ojú, ńronú
🤐	Oju Ẹni Ti A Tipa, ojú, tìpa, ẹnu
🤨	Oníyèméjì, Ìrun ojú ta gbé sókè, àìgbàgbọ́
😐️	Ojú Ìbíìbí, ojú, àárín, àìpani lẹ́rìń
😑	Oju Ti Ko Fanimọra, ojú, àìfanimọ́ra, àìlè sọ̀rọ̀, àìlèsọ̀rọ̀
😶	Ojú tí kò ní Ẹnu, dáké, ojú, ẹnu
😏	Oju Ẹrin Abosi, ojú, rẹ́rín àbòsí
😒	Oju Aifanimọra, ojú, àìdunú, àìfanimọ́ra
🙄	Ojú Pẹ̀lú Ẹyinjú tó yín, ojú, tó yín, àwọn ẹyinjú
😬	Oju Ifaro, ojú, ìfaro
🤥	Oju Irọ, irọ́, ojú, onímú gígùn
😌	Oju Itura, ojú, ìtura
😔	Oju Ironu, jákulẹ̀, ojú, ìpòruru
